"Voltage (V) Run #1","Light Intensity (% of scale max) Run #1","Relative Intensity Run #1"
3.642,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.643,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.643,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.643,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.641,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.642,0.1,0.09
3.643,0.1,0.09
3.642,0.1,0.09
3.643,0.1,0.09
3.643,0.1,0.09
3.643,0.1,0.09
3.642,0.1,0.09
3.641,0.1,0.09
3.640,0.1,0.09
3.640,0.1,0.09
3.640,0.1,0.09
3.640,0.1,0.09
3.639,0.1,0.09
3.640,0.1,0.09
3.640,0.1,0.09
3.640,0.1,0.09
3.640,0.1,0.09
3.640,0.1,0.09
3.640,0.1,0.09
3.638,0.1,0.09
3.638,0.1,0.09
3.639,0.1,0.09
3.639,0.1,0.09
3.638,0.1,0.09
3.638,0.1,0.09
3.638,0.1,0.09
3.638,0.1,0.09
3.637,0.1,0.09
3.637,0.1,0.09
3.637,0.1,0.09
3.637,0.1,0.09
3.637,0.1,0.09
3.637,0.1,0.09
3.637,0.1,0.09
3.636,0.1,0.09
3.636,0.1,0.09
3.635,0.1,0.09
3.634,0.1,0.09
3.635,0.1,0.09
3.635,0.1,0.09
3.635,0.1,0.09
3.634,0.1,0.09
3.632,0.1,0.09
3.631,0.1,0.09
3.631,0.1,0.09
3.632,0.1,0.09
3.632,0.1,0.09
3.631,0.1,0.09
3.632,0.1,0.09
3.632,0.1,0.09
3.632,0.1,0.09
3.633,0.1,0.09
3.633,0.1,0.09
3.633,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.633,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.633,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.635,0.1,0.09
3.635,0.1,0.09
3.635,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.634,0.1,0.09
3.633,0.1,0.09
3.631,0.1,0.09
3.630,0.1,0.09
3.631,0.1,0.09
3.630,0.1,0.09
3.630,0.1,0.09
3.630,0.1,0.09
3.630,0.1,0.09
3.631,0.1,0.09
3.630,0.1,0.09
3.631,0.1,0.09
3.630,0.1,0.09
3.631,0.1,0.09
3.631,0.1,0.09
3.630,0.1,0.09
3.631,0.1,0.09
3.630,0.1,0.09
3.630,0.1,0.09
3.630,0.1,0.09
3.630,0.1,0.09
3.630,0.1,0.09
3.631,0.1,0.09
3.631,0.1,0.09
3.631,0.1,0.09
3.630,0.1,0.09
3.631,0.1,0.09
3.630,0.1,0.09
3.631,0.1,0.09
3.630,0.1,0.09
3.629,0.1,0.09
3.627,0.1,0.09
3.627,0.1,0.09
3.627,0.1,0.09
3.626,0.1,0.09
3.626,0.1,0.09
3.627,0.1,0.09
3.627,0.1,0.09
3.627,0.1,0.09
3.627,0.1,0.09
3.628,0.1,0.09
3.627,0.1,0.09
3.628,0.1,0.09
3.626,0.1,0.09
3.627,0.1,0.09
3.628,0.1,0.09
3.628,0.1,0.09
3.628,0.1,0.09
3.626,0.1,0.09
3.627,0.1,0.09
3.626,0.1,0.09
3.626,0.1,0.09
3.626,0.1,0.09
3.626,0.1,0.09
3.624,0.1,0.09
3.623,0.1,0.09
3.623,0.1,0.09
3.623,0.1,0.09
3.624,0.1,0.09
3.623,0.1,0.09
3.623,0.1,0.09
3.623,0.1,0.09
3.623,0.1,0.09
3.623,0.1,0.09
3.623,0.1,0.09
3.622,0.1,0.09
3.623,0.1,0.09
3.623,0.1,0.09
3.623,0.1,0.09
3.622,0.1,0.09
3.621,0.1,0.09
3.621,0.1,0.09
3.620,0.1,0.09
3.620,0.1,0.09
3.620,0.1,0.09
3.620,0.1,0.09
3.620,0.1,0.09
3.619,0.1,0.09
3.620,0.1,0.09
3.617,0.1,0.09
3.615,0.1,0.09
3.615,0.1,0.09
3.616,0.1,0.09
3.615,0.1,0.09
3.615,0.1,0.09
3.615,0.1,0.09
3.616,0.1,0.09
3.616,0.1,0.09
3.616,0.1,0.09
3.616,0.1,0.09
3.616,0.1,0.09
3.615,0.1,0.09
3.616,0.1,0.09
3.616,0.1,0.09
3.617,0.1,0.09
3.616,0.1,0.09
3.613,0.1,0.09
3.611,0.1,0.09
3.611,0.1,0.09
3.611,0.1,0.09
3.611,0.1,0.09
3.611,0.1,0.09
3.611,0.1,0.09
3.611,0.1,0.09
3.611,0.1,0.09
3.611,0.1,0.09
3.611,0.1,0.09
3.610,0.1,0.09
3.611,0.1,0.09
3.611,0.1,0.09
3.612,0.1,0.09
3.608,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.607,0.1,0.09
3.606,0.1,0.09
3.604,0.1,0.09
3.602,0.1,0.09
3.603,0.1,0.09
3.603,0.1,0.09
3.602,0.1,0.09
3.603,0.1,0.09
3.602,0.1,0.09
3.603,0.1,0.09
3.603,0.1,0.09
3.603,0.1,0.09
3.602,0.1,0.09
3.602,0.1,0.09
3.601,0.1,0.09
3.600,0.1,0.09
3.601,0.1,0.09
3.600,0.1,0.09
3.599,0.1,0.09
3.599,0.1,0.09
3.600,0.1,0.09
3.600,0.1,0.09
3.600,0.1,0.09
3.600,0.1,0.09
3.600,0.1,0.09
3.599,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.596,0.1,0.09
3.595,0.1,0.09
3.595,0.1,0.09
3.592,0.1,0.09
3.593,0.1,0.09
3.592,0.1,0.09
3.593,0.1,0.09
3.593,0.1,0.09
3.593,0.1,0.09
3.593,0.1,0.09
3.593,0.1,0.09
3.593,0.1,0.09
3.592,0.1,0.09
3.593,0.1,0.09
3.593,0.1,0.09
3.592,0.1,0.09
3.592,0.1,0.09
3.592,0.1,0.09
3.592,0.1,0.09
3.589,0.1,0.09
3.588,0.1,0.09
3.589,0.1,0.09
3.589,0.1,0.09
3.589,0.1,0.09
3.589,0.1,0.09
3.589,0.1,0.09
3.589,0.1,0.09
3.589,0.1,0.09
3.590,0.1,0.09
3.590,0.1,0.09
3.590,0.1,0.09
3.589,0.1,0.09
3.589,0.1,0.09
3.588,0.1,0.09
3.585,0.1,0.09
3.585,0.1,0.09
3.585,0.1,0.09
3.586,0.1,0.09
3.585,0.1,0.09
3.585,0.1,0.09
3.585,0.1,0.09
3.586,0.1,0.09
3.585,0.1,0.09
3.585,0.1,0.09
3.585,0.1,0.09
3.585,0.1,0.08
3.585,0.1,0.09
3.585,0.1,0.09
3.585,0.1,0.09
3.582,0.1,0.08
3.582,0.1,0.09
3.582,0.1,0.08
3.583,0.1,0.08
3.582,0.1,0.08
3.581,0.1,0.08
3.582,0.1,0.08
3.583,0.1,0.08
3.580,0.1,0.08
3.578,0.1,0.09
3.579,0.1,0.08
3.578,0.1,0.08
3.578,0.1,0.08
3.578,0.1,0.08
3.578,0.1,0.08
3.578,0.1,0.08
3.577,0.1,0.08
3.576,0.1,0.08
3.576,0.1,0.08
3.576,0.1,0.08
3.577,0.1,0.08
3.577,0.1,0.08
3.577,0.1,0.08
3.575,0.1,0.08
3.575,0.1,0.08
3.574,0.1,0.08
3.574,0.1,0.08
3.574,0.1,0.08
3.574,0.1,0.08
3.574,0.1,0.08
3.573,0.1,0.08
3.574,0.1,0.08
3.570,0.1,0.08
3.571,0.1,0.08
3.570,0.1,0.08
3.570,0.1,0.08
3.571,0.1,0.08
3.571,0.1,0.08
3.570,0.1,0.08
3.570,0.1,0.08
3.570,0.1,0.08
3.566,0.1,0.08
3.566,0.1,0.08
3.566,0.1,0.08
3.566,0.1,0.08
3.566,0.1,0.08
3.566,0.1,0.08
3.567,0.1,0.08
3.566,0.1,0.08
3.567,0.1,0.08
3.567,0.1,0.08
3.567,0.1,0.08
3.566,0.1,0.08
3.566,0.1,0.08
3.566,0.1,0.08
3.563,0.1,0.08
3.563,0.1,0.08
3.563,0.1,0.08
3.562,0.1,0.08
3.562,0.1,0.08
3.562,0.1,0.08
3.561,0.1,0.08
3.561,0.1,0.08
3.560,0.1,0.08
3.559,0.1,0.08
3.559,0.1,0.08
3.559,0.1,0.08
3.559,0.1,0.08
3.559,0.1,0.08
3.558,0.1,0.08
3.557,0.1,0.08
3.557,0.1,0.08
3.557,0.1,0.08
3.557,0.1,0.08
3.557,0.1,0.08
3.558,0.1,0.08
3.557,0.1,0.08
3.556,0.1,0.08
3.554,0.1,0.08
3.553,0.1,0.08
3.553,0.1,0.08
3.553,0.1,0.08
3.553,0.1,0.08
3.554,0.1,0.08
3.554,0.1,0.08
3.554,0.1,0.08
3.552,0.1,0.08
3.552,0.1,0.08
3.551,0.1,0.08
3.551,0.1,0.08
3.548,0.1,0.08
3.548,0.1,0.08
3.546,0.1,0.08
3.545,0.1,0.08
3.546,0.1,0.08
3.546,0.1,0.08
3.546,0.1,0.08
3.547,0.1,0.08
3.547,0.1,0.08
3.548,0.1,0.08
3.546,0.1,0.08
3.544,0.1,0.08
3.544,0.1,0.08
3.544,0.1,0.08
3.544,0.1,0.08
3.545,0.1,0.08
3.545,0.1,0.08
3.546,0.1,0.08
3.543,0.1,0.08
3.541,0.1,0.08
3.541,0.1,0.08
3.541,0.1,0.08
3.541,0.1,0.08
3.541,0.1,0.08
3.542,0.1,0.08
3.543,0.1,0.08
3.541,0.1,0.08
3.539,0.1,0.08
3.540,0.1,0.08
3.539,0.1,0.08
3.539,0.1,0.08
3.540,0.1,0.08
3.539,0.1,0.08
3.539,0.1,0.08
3.535,0.1,0.08
3.536,0.1,0.08
3.536,0.1,0.08
3.537,0.1,0.08
3.537,0.1,0.08
3.538,0.1,0.08
3.538,0.1,0.08
3.537,0.1,0.08
3.533,0.1,0.08
3.533,0.1,0.08
3.533,0.1,0.08
3.533,0.1,0.08
3.533,0.1,0.08
3.533,0.1,0.08
3.533,0.1,0.08
3.533,0.1,0.08
3.529,0.1,0.08
3.530,0.1,0.08
3.529,0.1,0.08
3.530,0.1,0.08
3.529,0.1,0.08
3.530,0.1,0.08
3.528,0.1,0.08
3.527,0.1,0.08
3.526,0.1,0.08
3.526,0.1,0.08
3.526,0.1,0.08
3.526,0.1,0.08
3.526,0.1,0.08
3.526,0.1,0.08
3.526,0.1,0.08
3.527,0.1,0.08
3.525,0.1,0.08
3.525,0.1,0.08
3.525,0.1,0.08
3.524,0.1,0.08
3.524,0.1,0.08
3.525,0.1,0.08
3.523,0.1,0.08
3.522,0.1,0.08
3.522,0.1,0.08
3.521,0.1,0.08
3.521,0.1,0.08
3.522,0.1,0.08
3.522,0.1,0.08
3.521,0.1,0.08
3.520,0.1,0.08
3.517,0.1,0.08
3.517,0.1,0.08
3.517,0.1,0.08
3.517,0.1,0.08
3.518,0.1,0.08
3.518,0.1,0.08
3.517,0.1,0.08
3.516,0.1,0.08
3.514,0.1,0.08
3.514,0.1,0.08
3.514,0.1,0.08
3.514,0.1,0.08
3.514,0.1,0.08
3.514,0.1,0.08
3.514,0.1,0.08
3.514,0.1,0.08
3.512,0.1,0.08
3.512,0.1,0.08
3.513,0.1,0.08
3.513,0.1,0.08
3.513,0.1,0.08
3.513,0.1,0.08
3.512,0.1,0.08
3.511,0.1,0.08
3.511,0.1,0.08
3.510,0.1,0.08
3.510,0.1,0.08
3.509,0.1,0.08
3.510,0.1,0.08
3.509,0.1,0.08
3.508,0.1,0.08
3.507,0.1,0.08
3.507,0.1,0.08
3.507,0.1,0.08
3.507,0.1,0.08
3.507,0.1,0.08
3.507,0.1,0.08
3.505,0.1,0.08
3.505,0.1,0.08
3.505,0.1,0.08
3.505,0.1,0.08
3.505,0.1,0.08
3.504,0.1,0.08
3.504,0.1,0.08
3.503,0.1,0.08
3.502,0.1,0.08
3.502,0.1,0.08
3.502,0.1,0.08
3.502,0.1,0.08
3.503,0.1,0.08
3.503,0.1,0.08
3.502,0.1,0.08
3.498,0.1,0.08
3.496,0.1,0.08
3.496,0.1,0.08
3.497,0.1,0.08
3.497,0.1,0.08
3.497,0.1,0.08
3.498,0.1,0.08
3.497,0.1,0.08
3.494,0.1,0.08
3.494,0.1,0.08
3.494,0.1,0.08
3.494,0.1,0.08
3.494,0.1,0.08
3.494,0.1,0.08
3.494,0.1,0.08
3.494,0.1,0.08
3.494,0.1,0.08
3.493,0.1,0.08
3.494,0.1,0.08
3.494,0.1,0.08
3.493,0.1,0.08
3.491,0.1,0.08
3.490,0.1,0.08
3.489,0.1,0.08
3.489,0.1,0.08
3.489,0.1,0.08
3.489,0.1,0.08
3.489,0.1,0.08
3.489,0.1,0.08
3.485,0.1,0.08
3.485,0.1,0.08
3.485,0.1,0.08
3.485,0.1,0.08
3.485,0.1,0.08
3.486,0.1,0.08
3.486,0.1,0.08
3.481,0.1,0.08
3.475,0.1,0.08
3.476,0.1,0.08
3.477,0.1,0.08
3.478,0.1,0.08
3.479,0.1,0.08
3.479,0.1,0.08
3.479,0.1,0.08
3.479,0.1,0.08
3.479,0.1,0.08
3.479,0.1,0.09
3.480,0.1,0.09
3.480,0.1,0.09
3.479,0.1,0.09
3.479,0.1,0.09
3.475,0.1,0.09
3.476,0.1,0.09
3.475,0.1,0.09
3.475,0.1,0.09
3.475,0.1,0.09
3.475,0.1,0.09
3.475,0.1,0.09
3.476,0.1,0.09
3.476,0.1,0.09
3.476,0.1,0.09
3.475,0.1,0.09
3.476,0.1,0.09
3.476,0.1,0.09
3.476,0.1,0.09
3.476,0.1,0.09
3.476,0.1,0.09
3.476,0.1,0.09
3.475,0.1,0.09
3.474,0.1,0.09
3.475,0.1,0.09
3.474,0.1,0.09
3.475,0.1,0.09
3.474,0.1,0.09
3.473,0.1,0.09
3.472,0.1,0.09
3.472,0.1,0.09
3.471,0.1,0.09
3.472,0.1,0.09
3.471,0.1,0.09
3.468,0.1,0.09
3.467,0.1,0.09
3.467,0.1,0.09
3.467,0.1,0.09
3.467,0.1,0.09
3.465,0.1,0.09
3.463,0.1,0.09
3.464,0.1,0.09
3.464,0.1,0.09
3.463,0.1,0.09
3.459,0.1,0.09
3.459,0.1,0.09
3.459,0.1,0.09
3.458,0.1,0.09
3.455,0.1,0.09
3.455,0.1,0.09
3.455,0.1,0.09
3.452,0.1,0.09
3.451,0.1,0.09
3.452,0.1,0.09
3.452,0.1,0.09
3.452,0.1,0.09
3.452,0.1,0.09
3.452,0.1,0.09
3.452,0.1,0.09
3.449,0.1,0.09
3.448,0.1,0.09
3.448,0.1,0.09
3.448,0.1,0.09
3.446,0.1,0.09
3.444,0.1,0.09
3.444,0.1,0.09
3.444,0.1,0.09
3.444,0.1,0.09
3.440,0.1,0.09
3.439,0.1,0.09
3.439,0.1,0.09
3.439,0.1,0.09
3.437,0.1,0.09
3.435,0.1,0.09
3.435,0.1,0.09
3.434,0.1,0.09
3.432,0.1,0.09
3.431,0.1,0.09
3.431,0.1,0.09
3.430,0.1,0.09
3.430,0.1,0.09
3.430,0.1,0.09
3.429,0.1,0.09
3.428,0.1,0.09
3.429,0.1,0.09
3.428,0.1,0.09
3.428,0.1,0.09
3.428,0.1,0.09
3.428,0.1,0.09
3.427,0.1,0.09
3.428,0.1,0.09
3.428,0.1,0.09
3.428,0.1,0.09
3.426,0.1,0.09
3.425,0.1,0.09
3.423,0.1,0.09
3.423,0.1,0.09
3.424,0.1,0.09
3.424,0.1,0.09
3.425,0.1,0.09
3.424,0.1,0.09
3.422,0.1,0.09
3.422,0.1,0.09
3.422,0.1,0.09
3.422,0.1,0.09
3.422,0.1,0.09
3.421,0.1,0.09
3.421,0.1,0.09
3.420,0.1,0.09
3.419,0.1,0.09
3.418,0.1,0.09
3.417,0.1,0.09
3.417,0.1,0.09
3.417,0.1,0.09
3.417,0.1,0.09
3.417,0.1,0.09
3.416,0.1,0.09
3.414,0.1,0.09
3.414,0.1,0.09
3.414,0.1,0.09
3.414,0.1,0.09
3.412,0.1,0.09
3.411,0.1,0.09
3.411,0.1,0.09
3.411,0.1,0.09
3.410,0.1,0.09
3.410,0.1,0.09
3.410,0.1,0.09
3.411,0.1,0.09
3.408,0.1,0.09
3.405,0.1,0.09
3.405,0.1,0.09
3.406,0.1,0.09
3.406,0.1,0.09
3.406,0.1,0.09
3.403,0.1,0.09
3.402,0.1,0.09
3.402,0.1,0.09
3.402,0.1,0.09
3.401,0.1,0.09
3.402,0.1,0.09
3.401,0.1,0.09
3.400,0.1,0.09
3.398,0.1,0.09
3.398,0.1,0.09
3.396,0.1,0.09
3.393,0.1,0.09
3.390,0.1,0.09
3.390,0.1,0.09
3.389,0.1,0.09
3.388,0.1,0.09
3.389,0.1,0.09
3.389,0.1,0.09
3.388,0.1,0.09
3.386,0.1,0.09
3.385,0.1,0.09
3.385,0.1,0.09
3.385,0.1,0.09
3.385,0.1,0.09
3.383,0.1,0.09
3.382,0.1,0.09
3.383,0.1,0.09
3.384,0.1,0.09
3.384,0.1,0.09
3.383,0.1,0.09
3.383,0.1,0.09
3.381,0.1,0.09
3.379,0.1,0.09
3.380,0.1,0.09
3.379,0.1,0.09
3.378,0.1,0.09
3.377,0.1,0.09
3.376,0.1,0.09
3.376,0.1,0.09
3.375,0.1,0.09
3.372,0.1,0.09
3.373,0.1,0.09
3.372,0.1,0.09
3.372,0.1,0.09
3.371,0.1,0.09
3.369,0.1,0.09
3.367,0.1,0.09
3.366,0.1,0.09
3.367,0.1,0.09
3.366,0.1,0.09
3.364,0.1,0.09
3.364,0.1,0.09
3.363,0.1,0.09
3.364,0.1,0.09
3.364,0.1,0.09
3.363,0.1,0.09
3.361,0.1,0.09
3.361,0.1,0.09
3.361,0.1,0.09
3.361,0.1,0.09
3.361,0.1,0.09
3.359,0.1,0.09
3.357,0.1,0.09
3.357,0.1,0.09
3.356,0.1,0.09
3.356,0.1,0.09
3.353,0.1,0.09
3.352,0.1,0.09
3.352,0.1,0.09
3.352,0.1,0.09
3.353,0.1,0.09
3.354,0.1,0.09
3.355,0.1,0.09
3.352,0.1,0.09
3.352,0.1,0.09
3.352,0.1,0.09
3.352,0.1,0.09
3.351,0.1,0.09
3.349,0.1,0.09
3.348,0.1,0.09
3.348,0.1,0.09
3.347,0.1,0.09
3.348,0.1,0.09
3.348,0.1,0.09
3.348,0.1,0.09
3.349,0.1,0.09
3.348,0.1,0.09
3.347,0.1,0.09
3.346,0.1,0.09
3.346,0.1,0.09
3.345,0.1,0.09
3.345,0.1,0.09
3.345,0.1,0.09
3.345,0.1,0.09
3.346,0.1,0.09
3.345,0.1,0.09
3.342,0.1,0.09
3.341,0.1,0.09
3.342,0.1,0.09
3.341,0.1,0.09
3.341,0.1,0.09
3.341,0.1,0.09
3.341,0.1,0.09
3.340,0.1,0.09
3.337,0.1,0.09
3.338,0.1,0.09
3.338,0.1,0.09
3.339,0.1,0.09
3.339,0.1,0.09
3.338,0.1,0.09
3.339,0.1,0.09
3.338,0.1,0.09
3.335,0.1,0.09
3.335,0.1,0.09
3.335,0.1,0.09
3.334,0.1,0.08
3.334,0.1,0.09
3.335,0.1,0.09
3.334,0.1,0.09
3.333,0.1,0.08
3.331,0.1,0.09
3.331,0.1,0.09
3.331,0.1,0.09
3.331,0.1,0.08
3.330,0.1,0.09
3.330,0.1,0.09
3.330,0.1,0.08
3.330,0.1,0.08
3.328,0.1,0.09
3.328,0.1,0.08
3.328,0.1,0.08
3.328,0.1,0.08
3.328,0.1,0.09
3.327,0.1,0.08
3.327,0.1,0.08
3.328,0.1,0.08
3.327,0.1,0.08
3.325,0.1,0.08
3.323,0.1,0.08
3.323,0.1,0.08
3.323,0.1,0.08
3.324,0.1,0.08
3.324,0.1,0.08
3.321,0.1,0.08
3.319,0.1,0.08
3.319,0.1,0.08
3.319,0.1,0.08
3.317,0.1,0.08
3.317,0.1,0.08
3.317,0.1,0.08
3.314,0.1,0.08
3.311,0.1,0.08
3.311,0.1,0.08
3.310,0.1,0.08
3.310,0.1,0.08
3.307,0.1,0.08
3.308,0.1,0.08
3.307,0.1,0.08
3.304,0.1,0.08
3.305,0.1,0.08
3.305,0.1,0.08
3.304,0.1,0.08
3.303,0.1,0.08
3.300,0.1,0.08
3.300,0.1,0.08
3.300,0.1,0.08
3.300,0.1,0.08
3.300,0.1,0.08
3.300,0.1,0.08
3.300,0.1,0.08
3.297,0.1,0.08
3.296,0.1,0.08
3.297,0.1,0.08
3.295,0.1,0.08
3.293,0.1,0.07
3.293,0.1,0.08
3.293,0.1,0.07
3.294,0.1,0.07
3.291,0.1,0.07
3.290,0.1,0.07
3.288,0.1,0.07
3.286,0.1,0.07
3.285,0.1,0.07
3.286,0.1,0.07
3.285,0.1,0.07
3.285,0.1,0.07
3.286,0.1,0.07
3.285,0.1,0.07
3.282,0.1,0.07
3.283,0.1,0.07
3.282,0.1,0.07
3.282,0.1,0.07
3.282,0.1,0.07
3.280,0.1,0.07
3.280,0.1,0.07
3.279,0.1,0.07
3.278,0.1,0.07
3.276,0.1,0.07
3.276,0.1,0.07
3.277,0.1,0.07
3.277,0.1,0.07
3.275,0.1,0.07
3.273,0.1,0.07
3.273,0.1,0.07
3.272,0.1,0.07
3.269,0.1,0.06
3.269,0.1,0.06
3.269,0.1,0.06
3.266,0.1,0.06
3.266,0.1,0.06
3.266,0.1,0.06
3.266,0.1,0.06
3.264,0.1,0.06
3.262,0.1,0.06
3.262,0.1,0.06
3.260,0.1,0.06
3.259,0.1,0.06
3.258,0.1,0.06
3.258,0.1,0.06
3.258,0.1,0.06
3.258,0.1,0.06
3.258,0.1,0.06
3.255,0.1,0.06
3.254,0.1,0.06
3.254,0.1,0.06
3.255,0.1,0.06
3.255,0.1,0.06
3.255,0.1,0.06
3.255,0.1,0.06
3.256,0.1,0.06
3.255,0.1,0.06
3.253,0.1,0.06
3.252,0.1,0.06
3.250,0.1,0.06
3.248,0.1,0.06
3.249,0.1,0.06
3.249,0.1,0.06
3.248,0.1,0.06
3.249,0.1,0.06
3.249,0.1,0.06
3.249,0.1,0.06
3.249,0.1,0.06
3.249,0.1,0.06
3.249,0.1,0.06
3.247,0.1,0.06
3.245,0.1,0.05
3.245,0.1,0.05
3.245,0.1,0.05
3.245,0.1,0.05
3.244,0.1,0.05
3.245,0.1,0.05
3.242,0.1,0.05
3.241,0.1,0.05
3.242,0.1,0.05
3.241,0.1,0.05
3.238,0.1,0.05
3.238,0.1,0.05
3.237,0.1,0.05
3.238,0.1,0.05
3.237,0.1,0.05
3.234,0.1,0.05
3.235,0.0,0.05
3.234,0.0,0.05
3.230,0.0,0.05
3.231,0.0,0.05
3.231,0.0,0.05
3.230,0.0,0.05
3.230,0.0,0.05
3.230,0.0,0.05
3.228,0.0,0.05
3.226,0.0,0.05
3.226,0.0,0.05
3.226,0.0,0.05
3.226,0.0,0.05
3.227,0.0,0.05
3.227,0.0,0.05
3.227,0.0,0.05
3.227,0.0,0.05
3.227,0.0,0.05
3.227,0.0,0.05
3.227,0.0,0.05
3.225,0.0,0.05
3.222,0.0,0.05
3.222,0.0,0.05
3.222,0.0,0.05
3.222,0.0,0.05
3.222,0.0,0.05
3.219,0.0,0.04
3.219,0.0,0.05
3.219,0.0,0.05
3.219,0.0,0.05
3.218,0.0,0.05
3.217,0.0,0.05
3.215,0.0,0.05
