"Light Intensity (% of scale max) Run #8","Relative Intensity Run #8","Voltage (V) Run #8"
0.02478,0.02478,1.377
0.02477,0.02477,1.376
0.02472,0.02472,1.377
0.02451,0.02451,1.376
0.02454,0.02454,1.376
0.02449,0.02449,1.376
0.02495,0.02495,1.376
0.02473,0.02473,1.376
0.02478,0.02478,1.376
0.02470,0.02470,1.375
0.02490,0.02490,1.375
0.02469,0.02469,1.375
0.02463,0.02463,1.376
0.02480,0.02480,1.376
0.02487,0.02487,1.376
0.02477,0.02477,1.376
0.02512,0.02512,1.376
0.02473,0.02473,1.375
0.02472,0.02472,1.375
0.02464,0.02464,1.375
0.02466,0.02466,1.376
0.02461,0.02461,1.376
0.02472,0.02472,1.376
0.02472,0.02472,1.376
0.02464,0.02464,1.376
0.02472,0.02472,1.376
0.02477,0.02477,1.377
0.02483,0.02483,1.376
0.02464,0.02464,1.376
0.02501,0.02501,1.377
0.02498,0.02498,1.375
0.02446,0.02446,1.376
0.02457,0.02457,1.376
0.02451,0.02451,1.376
0.02454,0.02454,1.376
0.02466,0.02466,1.375
0.02493,0.02493,1.376
0.02473,0.02473,1.376
0.02478,0.02478,1.376
0.02458,0.02458,1.375
0.02487,0.02487,1.376
0.02489,0.02489,1.375
0.02492,0.02492,1.375
0.02472,0.02472,1.375
0.02481,0.02481,1.375
0.02484,0.02484,1.376
0.02467,0.02467,1.376
0.02484,0.02484,1.376
0.02480,0.02480,1.376
0.02460,0.02460,1.376
0.02470,0.02470,1.376
0.02457,0.02457,1.376
0.02470,0.02470,1.376
0.02470,0.02470,1.376
0.02448,0.02448,1.377
0.02466,0.02466,1.377
0.02470,0.02470,1.376
0.02484,0.02484,1.376
0.02466,0.02466,1.377
0.02484,0.02484,1.375
0.02452,0.02452,1.375
0.02461,0.02461,1.374
0.02466,0.02466,1.372
0.02464,0.02464,1.371
0.02483,0.02483,1.372
0.02493,0.02493,1.371
0.02487,0.02487,1.370
0.02460,0.02460,1.368
0.02475,0.02475,1.367
0.02483,0.02483,1.367
0.02481,0.02481,1.367
0.02452,0.02452,1.367
0.02469,0.02469,1.366
0.02490,0.02490,1.363
0.02484,0.02484,1.363
0.02472,0.02472,1.363
0.02481,0.02481,1.364
0.02460,0.02460,1.362
0.02470,0.02470,1.359
0.02478,0.02478,1.359
0.02499,0.02499,1.359
0.02460,0.02460,1.358
0.02457,0.02457,1.353
0.02489,0.02489,1.352
0.02464,0.02464,1.353
0.02499,0.02499,1.351
0.02467,0.02467,1.348
0.02490,0.02490,1.348
0.02448,0.02448,1.347
0.02464,0.02464,1.348
0.02489,0.02489,1.348
0.02469,0.02469,1.345
0.02507,0.02507,1.344
0.02477,0.02477,1.344
0.02466,0.02466,1.343
0.02457,0.02457,1.344
0.02441,0.02441,1.344
0.02487,0.02487,1.343
0.02473,0.02473,1.343
0.02451,0.02451,1.343
0.02457,0.02457,1.343
0.02464,0.02464,1.343
0.02448,0.02448,1.343
0.02487,0.02487,1.343
0.02470,0.02470,1.343
0.02499,0.02499,1.344
0.02472,0.02472,1.343
0.02469,0.02469,1.343
0.02475,0.02475,1.341
0.02466,0.02466,1.340
0.02475,0.02475,1.339
0.02470,0.02470,1.339
0.02472,0.02472,1.339
0.02461,0.02461,1.337
0.02466,0.02466,1.335
0.02461,0.02461,1.335
0.02457,0.02457,1.334
0.02483,0.02483,1.334
0.02457,0.02457,1.334
0.02484,0.02484,1.335
0.02466,0.02466,1.331
0.02481,0.02481,1.330
0.02460,0.02460,1.330
0.02498,0.02498,1.328
0.02499,0.02499,1.326
0.02502,0.02502,1.326
0.02493,0.02493,1.324
0.02481,0.02481,1.322
0.02495,0.02495,1.321
0.02481,0.02481,1.321
0.02492,0.02492,1.321
0.02467,0.02467,1.322
0.02507,0.02507,1.321
0.02478,0.02478,1.321
0.02472,0.02472,1.319
0.02499,0.02499,1.315
0.02507,0.02507,1.317
0.02493,0.02493,1.317
0.02505,0.02505,1.316
0.02473,0.02473,1.317
0.02499,0.02499,1.317
0.02507,0.02507,1.316
0.02515,0.02515,1.316
0.02487,0.02487,1.317
0.02507,0.02507,1.316
0.02519,0.02519,1.316
0.02512,0.02512,1.317
0.02483,0.02483,1.317
0.02484,0.02484,1.315
0.02480,0.02480,1.312
0.02466,0.02466,1.312
0.02483,0.02483,1.312
0.02490,0.02490,1.312
0.02483,0.02483,1.311
0.02472,0.02472,1.308
0.02483,0.02483,1.308
0.02461,0.02461,1.308
0.02489,0.02489,1.308
0.02483,0.02483,1.307
0.02499,0.02499,1.306
0.02486,0.02486,1.304
0.02472,0.02472,1.304
0.02490,0.02490,1.303
0.02499,0.02499,1.300
0.02472,0.02472,1.300
0.02481,0.02481,1.296
0.02487,0.02487,1.295
0.02466,0.02466,1.295
0.02475,0.02475,1.292
0.02495,0.02495,1.289
0.02481,0.02481,1.289
0.02492,0.02492,1.289
0.02473,0.02473,1.289
0.02458,0.02458,1.289
0.02473,0.02473,1.286
0.02473,0.02473,1.283
0.02470,0.02470,1.283
0.02451,0.02451,1.284
0.02480,0.02480,1.283
0.02487,0.02487,1.282
0.02473,0.02473,1.280
0.02466,0.02466,1.280
0.02477,0.02477,1.279
0.02449,0.02449,1.280
0.02460,0.02460,1.279
0.02478,0.02478,1.279
0.02454,0.02454,1.275
0.02467,0.02467,1.275
0.02463,0.02463,1.275
0.02492,0.02492,1.276
0.02440,0.02440,1.272
0.02484,0.02484,1.272
0.02486,0.02486,1.272
0.02466,0.02466,1.270
0.02481,0.02481,1.271
0.02480,0.02480,1.268
0.02502,0.02502,1.266
0.02469,0.02469,1.267
0.02461,0.02461,1.267
0.02454,0.02454,1.266
0.02481,0.02481,1.262
0.02483,0.02483,1.261
0.02498,0.02498,1.262
0.02473,0.02473,1.262
0.02495,0.02495,1.262
0.02484,0.02484,1.260
0.02499,0.02499,1.256
0.02493,0.02493,1.256
0.02483,0.02483,1.257
0.02464,0.02464,1.256
0.02472,0.02472,1.253
0.02472,0.02472,1.252
0.02467,0.02467,1.252
0.02470,0.02470,1.252
0.02469,0.02469,1.252
0.02464,0.02464,1.252
0.02446,0.02446,1.252
0.02446,0.02446,1.252
0.02437,0.02437,1.252
0.02452,0.02452,1.252
0.02440,0.02440,1.248
0.02461,0.02461,1.247
0.02454,0.02454,1.244
0.02455,0.02455,1.243
0.02464,0.02464,1.243
0.02417,0.02417,1.240
0.02454,0.02454,1.240
0.02422,0.02422,1.237
0.02438,0.02438,1.234
0.02437,0.02437,1.235
0.02458,0.02458,1.231
0.02451,0.02451,1.230
0.02437,0.02437,1.230
0.02435,0.02435,1.229
0.02441,0.02441,1.226
0.02444,0.02444,1.225
0.02428,0.02428,1.225
0.02463,0.02463,1.225
0.02477,0.02477,1.225
0.02464,0.02464,1.224
0.02467,0.02467,1.224
0.02470,0.02470,1.222
0.02467,0.02467,1.221
0.02469,0.02469,1.221
0.02452,0.02452,1.221
0.02455,0.02455,1.221
0.02467,0.02467,1.221
0.02454,0.02454,1.219
0.02460,0.02460,1.217
0.02455,0.02455,1.217
0.02449,0.02449,1.217
0.02478,0.02478,1.217
0.02481,0.02481,1.217
0.02477,0.02477,1.215
0.02460,0.02460,1.213
0.02475,0.02475,1.213
0.02444,0.02444,1.213
0.02434,0.02434,1.209
0.02444,0.02444,1.208
0.02425,0.02425,1.208
0.02460,0.02460,1.206
0.02454,0.02454,1.203
0.02440,0.02440,1.204
0.02400,0.02400,1.203
0.02443,0.02443,1.199
