"Light Intensity (% of scale max) Run #1","Relative Intensity Run #1","Voltage (V) Run #1"
0.02950,0.02950,-0.332
0.02948,0.02948,-0.332
0.02954,0.02954,-0.332
0.02956,0.02956,-0.331
0.02942,0.02942,-0.331
0.02965,0.02965,-0.331
0.02948,0.02948,-0.332
0.02957,0.02957,-0.332
0.02960,0.02960,-0.331
0.02953,0.02953,-0.331
0.02953,0.02953,-0.331
0.02959,0.02959,-0.331
0.02954,0.02954,-0.331
0.02942,0.02942,-0.331
0.02936,0.02936,-0.332
0.02939,0.02939,-0.332
0.02914,0.02914,-0.332
0.02940,0.02940,-0.331
0.02917,0.02917,-0.332
0.02956,0.02956,-0.332
0.02971,0.02971,-0.332
0.02972,0.02972,-0.332
0.02980,0.02980,-0.332
0.02971,0.02971,-0.332
0.02966,0.02966,-0.332
0.02986,0.02986,-0.332
0.02946,0.02946,-0.332
0.02963,0.02963,-0.332
0.02953,0.02953,-0.332
0.02948,0.02948,-0.332
0.02940,0.02940,-0.332
0.02927,0.02927,-0.332
0.02922,0.02922,-0.333
0.02921,0.02921,-0.332
0.02908,0.02908,-0.331
0.02916,0.02916,-0.331
0.02924,0.02924,-0.332
0.02930,0.02930,-0.332
0.02943,0.02943,-0.331
0.02945,0.02945,-0.332
0.02946,0.02946,-0.332
0.02946,0.02946,-0.332
0.02953,0.02953,-0.332
0.02985,0.02985,-0.332
0.02974,0.02974,-0.332
0.02963,0.02963,-0.332
0.02954,0.02954,-0.332
0.02959,0.02959,-0.331
0.02946,0.02946,-0.331
0.02931,0.02931,-0.331
0.02899,0.02899,-0.332
0.02896,0.02896,-0.332
0.02901,0.02901,-0.331
0.02866,0.02866,-0.333
0.02818,0.02818,-0.335
0.02798,0.02798,-0.335
0.02808,0.02808,-0.335
0.02736,0.02736,-0.337
0.02710,0.02710,-0.341
0.02686,0.02686,-0.341
0.02679,0.02679,-0.341
0.02658,0.02658,-0.341
0.02641,0.02641,-0.341
0.02605,0.02605,-0.343
0.02599,0.02599,-0.346
0.02591,0.02591,-0.346
0.02548,0.02548,-0.346
0.02521,0.02521,-0.346
0.02527,0.02527,-0.345
0.02490,0.02490,-0.346
0.02498,0.02498,-0.347
0.02472,0.02472,-0.348
0.02461,0.02461,-0.350
0.02477,0.02477,-0.351
0.02429,0.02429,-0.351
0.02423,0.02423,-0.351
0.02441,0.02441,-0.351
0.02415,0.02415,-0.352
0.02423,0.02423,-0.353
0.02449,0.02449,-0.354
0.02414,0.02414,-0.354
0.02428,0.02428,-0.354
0.02457,0.02457,-0.354
0.02504,0.02504,-0.354
0.02742,0.02742,-0.354
0.02806,0.02806,-0.354
0.02827,0.02827,-0.354
0.02866,0.02866,-0.355
0.02997,0.02997,-0.355
0.03017,0.03017,-0.358
0.03076,0.03076,-0.358
0.03073,0.03073,-0.358
0.03102,0.03102,-0.359
0.03098,0.03098,-0.361
0.03065,0.03065,-0.363
0.03058,0.03058,-0.363
0.03020,0.03020,-0.363
0.02966,0.02966,-0.363
0.02985,0.02985,-0.365
0.02983,0.02983,-0.368
0.02954,0.02954,-0.367
0.02895,0.02895,-0.367
0.02896,0.02896,-0.368
0.02846,0.02846,-0.370
0.02786,0.02786,-0.370
0.02649,0.02649,-0.371
0.02623,0.02623,-0.372
0.02628,0.02628,-0.372
0.02625,0.02625,-0.372
0.02608,0.02608,-0.371
0.02596,0.02596,-0.372
0.02490,0.02490,-0.376
0.02449,0.02449,-0.378
0.02475,0.02475,-0.378
