"Time (s) Run #1","Voltage (V) Run #1","Time (s) Run #2","Voltage (V) Run #2","Time (s) Run #3","Voltage (V) Run #3","Time (s) Run #4","Voltage (V) Run #4","Time (s) Run #5","Voltage (V) Run #5","Time (s) Run #6","Voltage (V) Run #6","Time (s) Run #7","Voltage (V) Run #7"
0.000,1.541,0.000,1.696,0.000,1.844,0.000,1.985,0.000,2.123,0.000,2.593,0.000,2.879
0.050,1.540,0.050,1.696,0.050,1.843,0.050,1.985,0.050,2.124,0.050,2.594,0.050,2.879
0.100,1.540,0.100,1.695,0.100,1.843,0.100,1.986,0.100,2.124,0.100,2.594,0.100,2.879
0.150,1.540,0.150,1.696,0.150,1.843,0.150,1.985,0.150,2.123,0.150,2.593,0.150,2.879
0.200,1.541,0.200,1.695,0.200,1.843,0.200,1.985,0.200,2.123,0.200,2.593,0.200,2.878
0.250,1.541,0.250,1.695,0.250,1.844,0.250,1.985,0.250,2.123,0.250,2.592,0.250,2.878
0.300,1.541,0.300,1.695,0.300,1.844,0.300,1.985,0.300,2.123,0.300,2.592,0.300,2.879
0.350,1.541,0.350,1.696,0.350,1.844,0.350,1.985,0.350,2.124,0.350,2.592,0.350,2.879
0.400,1.540,0.400,1.695,0.400,1.844,0.400,1.986,0.400,2.124,0.400,2.592,0.400,2.879
0.450,1.540,0.450,1.695,0.450,1.844,0.450,1.985,0.450,2.125,0.450,2.592,0.450,2.879
0.500,1.540,0.500,1.696,0.500,1.844,0.500,1.985,0.500,2.125,0.500,2.593,0.500,2.879
0.550,1.540,0.550,1.695,0.550,1.844,0.550,1.984,0.550,2.125,0.550,2.593,0.550,2.879
0.600,1.540,0.600,1.695,0.600,1.844,0.600,1.985,0.600,2.125,0.600,2.593,0.600,2.879
0.650,1.541,0.650,1.694,0.650,1.844,0.650,1.985,0.650,2.124,0.650,2.594,0.650,2.879
0.700,1.541,0.700,1.694,0.700,1.843,0.700,1.985,0.700,2.125,0.700,2.594,0.700,2.878
0.750,1.541,0.750,1.694,0.750,1.843,0.750,1.985,0.750,2.125,0.750,2.593,0.750,2.878
0.800,1.541,0.800,1.694,0.800,1.843,0.800,1.985,0.800,2.126,0.800,2.593,0.800,2.877
0.850,1.540,0.850,1.694,0.850,1.843,0.850,1.985,0.850,2.124,0.850,2.594,0.850,2.878
0.900,1.540,0.900,1.695,0.900,1.842,0.900,1.985,0.900,2.124,0.900,2.594,0.900,2.878
0.950,1.541,0.950,1.695,0.950,1.843,0.950,1.985,0.950,2.124,0.950,2.594,0.950,2.878
1.000,1.541,1.000,1.694,1.000,1.843,1.000,1.985,1.000,2.124,1.000,2.593,1.000,2.878
1.050,1.540,1.050,1.694,1.050,1.843,1.050,1.985,1.050,2.124,1.050,2.594,1.050,2.878
1.100,1.540,1.100,1.694,1.100,1.843,1.100,1.985,1.100,2.124,1.100,2.593,1.100,2.878
1.150,1.540,1.150,1.694,1.150,1.843,1.150,1.985,1.150,2.124,1.150,2.594,1.150,2.879
1.200,1.540,1.200,1.694,1.200,1.843,1.200,1.985,1.200,2.124,1.200,2.593,1.200,2.878
1.250,1.541,1.250,1.695,1.250,1.844,1.250,1.985,1.250,2.124,1.250,2.592,1.250,2.879
1.300,1.541,1.300,1.695,1.300,1.844,1.300,1.985,1.300,2.124,1.300,2.592,1.300,2.878
1.350,1.540,1.350,1.695,1.350,1.844,1.350,1.985,1.350,2.123,1.350,2.593,1.350,2.878
1.400,1.540,1.400,1.694,1.400,1.844,1.400,1.985,1.400,2.123,1.400,2.593,1.400,2.878
1.450,1.541,1.450,1.695,1.450,1.843,1.450,1.985,1.450,2.122,1.450,2.593,1.450,2.878
1.500,1.541,1.500,1.695,1.500,1.843,1.500,1.985,1.500,2.123,1.500,2.593,1.500,2.878
1.550,1.541,1.550,1.694,1.550,1.843,1.550,1.984,1.550,2.123,1.550,2.594,1.550,2.878
1.600,1.541,1.600,1.695,1.600,1.844,1.600,1.985,1.600,2.123,1.600,2.594,1.600,2.878
1.650,1.541,1.650,1.695,1.650,1.843,1.650,1.984,1.650,2.123,1.650,2.594,1.650,2.878
1.700,1.541,1.700,1.695,1.700,1.844,1.700,1.984,1.700,2.123,1.700,2.593,1.700,2.878
1.750,1.541,1.750,1.695,1.750,1.844,1.750,1.985,1.750,2.123,1.750,2.593,1.750,2.879
1.800,1.541,1.800,1.694,1.800,1.843,1.800,1.985,1.800,2.123,1.800,2.593,1.800,2.879
1.850,1.541,1.850,1.695,1.850,1.843,1.850,1.984,1.850,2.123,1.850,2.593,1.850,2.879
1.900,1.541,1.900,1.695,1.900,1.844,1.900,1.984,1.900,2.123,1.900,2.593,1.900,2.879
1.950,1.541,1.950,1.695,1.950,1.844,1.950,1.985,1.950,2.123,1.950,2.593,1.950,2.878
