"Voltage (V) Run #1","Voltage (V) Run #2","Voltage (V) Run #3","Voltage (V) Run #4","Voltage (V) Run #5","Voltage (V) Run #6","Voltage (V) Run #7"
-3.094,-2.749,-2.424,-2.085,-1.749,-1.407,-1.075
-3.094,-2.748,-2.424,-2.085,-1.749,-1.407,-1.075
-3.094,-2.748,-2.424,-2.085,-1.749,-1.407,-1.075
-3.094,-2.748,-2.424,-2.085,-1.749,-1.407,-1.075
-3.094,-2.748,-2.424,-2.085,-1.750,-1.407,-1.074
-3.094,-2.748,-2.424,-2.086,-1.749,-1.407,-1.075
-3.094,-2.748,-2.424,-2.086,-1.750,-1.407,-1.076
-3.093,-2.748,-2.424,-2.086,-1.749,-1.407,-1.075
-3.093,-2.748,-2.424,-2.085,-1.750,-1.407,-1.075
-3.093,-2.748,-2.424,-2.085,-1.749,-1.407,-1.075
-3.093,-2.748,-2.423,-2.085,-1.749,-1.407,-1.076
-3.093,-2.748,-2.423,-2.085,-1.749,-1.407,-1.075
-3.093,-2.748,-2.424,-2.085,-1.749,-1.407,-1.075
-3.093,-2.748,-2.424,-2.085,-1.749,-1.407,-1.074
-3.092,-2.748,-2.425,-2.085,-1.749,-1.407,-1.075
-3.092,-2.748,-2.425,-2.084,-1.749,-1.407,-1.075
-3.092,-2.748,-2.425,-2.085,-1.749,-1.407,-1.075
-3.092,-2.748,-2.425,-2.086,-1.749,-1.407,-1.075
-3.092,-2.748,-2.425,-2.086,-1.749,-1.407,-1.074
-3.092,-2.748,-2.426,-2.087,-1.749,-1.407,-1.074
-3.092,-2.748,-2.426,-2.087,-1.749,-1.406,-1.074
-3.092,-2.747,-2.425,-2.087,-1.749,-1.406,-1.075
-3.092,-2.746,-2.425,-2.087,-1.749,-1.406,-1.075
-3.092,-2.747,-2.425,-2.087,-1.749,-1.407,-1.076
-3.092,-2.746,-2.424,-2.088,-1.748,-1.407,-1.075
-3.093,-2.745,-2.424,-2.088,-1.748,-1.407,-1.075
-3.092,-2.745,-2.425,-2.088,-1.749,-1.407,-1.075
-3.092,-2.745,-2.425,-2.088,-1.749,-1.407,-1.075
-3.092,-2.745,-2.425,-2.088,-1.749,-1.407,-1.076
-3.092,-2.746,-2.425,-2.089,-1.749,-1.407,-1.075
-3.091,-2.746,-2.426,-2.088,-1.750,-1.407,-1.075
-3.092,-2.746,-2.426,-2.089,-1.750,-1.407,-1.075
-3.092,-2.745,-2.426,-2.089,-1.750,-1.406,-1.075
-3.092,-2.745,-2.425,-2.088,-1.750,-1.406,-1.075
-3.092,-2.746,-2.425,-2.089,-1.750,-1.406,-1.076
-3.092,-2.745,-2.425,-2.089,-1.750,-1.406,-1.076
-3.093,-2.745,-2.426,-2.089,-1.750,-1.407,-1.075
-3.094,-2.746,-2.426,-2.089,-1.750,-1.407,-1.075
-3.094,-2.746,-2.426,-2.089,-1.750,-1.407,-1.075
-3.094,-2.747,-2.425,-2.089,-1.750,-1.407,-1.075
-3.093,-2.746,-2.425,-2.089,-1.749,-1.407,-1.075
-3.092,-2.747,-2.426,-2.088,-1.749,-1.407,-1.075
-3.093,-2.747,-2.426,-2.088,-1.749,-1.407,-1.075
-3.093,-2.746,-2.426,-2.088,-1.749,-1.406,-1.075
-3.093,-2.746,-2.425,-2.088,-1.749,-1.406,-1.075
-3.093,-2.747,-2.425,-2.088,-1.749,-1.406,-1.075
-3.093,-2.746,-2.425,-2.088,-1.750,-1.406,-1.075
-3.093,-2.746,-2.425,-2.088,-1.750,-1.407,-1.075
-3.093,-2.746,-2.425,-2.088,-1.750,-1.407,-1.074
-3.093,-2.745,-2.425,-2.088,-1.750,-1.407,-1.074
-3.092,-2.746,-2.425,-2.088,-1.749,-1.407,-1.074
-3.092,-2.744,-2.426,-2.089,-1.749,-1.407,-1.074
-3.093,-2.745,-2.426,-2.088,-1.749,-1.407,-1.075
-3.092,-2.745,-2.426,-2.089,-1.749,-1.407,-1.075
-3.092,-2.745,-2.424,-2.089,-1.749,-1.407,-1.075
-3.091,-2.744,-2.424,-2.089,-1.748,-1.407,-1.076
-3.092,-2.745,-2.425,-2.089,-1.749,-1.406,-1.075
-3.092,-2.745,-2.426,-2.089,-1.749,-1.407,-1.075
