"Voltage (V) Run #1","Light Intensity (% of scale max) Run #1","Relative Intensity Run #1"
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.867,0.0,0.02
-0.868,0.0,0.02
-0.868,0.0,0.02
-0.868,0.0,0.02
-0.869,0.0,0.02
-0.868,0.0,0.02
-0.868,0.0,0.02
-0.868,0.0,0.02
-0.868,0.0,0.02
-0.869,0.0,0.02
-0.868,0.0,0.02
-0.868,0.0,0.02
-0.869,0.0,0.02
-0.870,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.870,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.870,0.0,0.02
-0.870,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.868,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.869,0.0,0.02
-0.868,0.0,0.02
-0.868,0.0,0.02
-0.869,0.0,0.02
-0.868,0.0,0.02
-0.868,0.0,0.02
-0.868,0.0,0.02
-0.868,0.0,0.02
-0.867,0.0,0.02
-0.866,0.0,0.02
-0.866,0.0,0.02
-0.865,0.0,0.02
-0.864,0.0,0.02
-0.865,0.0,0.02
-0.865,0.0,0.02
-0.865,0.0,0.02
-0.865,0.0,0.02
-0.865,0.0,0.02
-0.866,0.0,0.02
-0.865,0.0,0.02
-0.865,0.0,0.02
-0.865,0.0,0.02
-0.865,0.0,0.02
-0.865,0.0,0.02
-0.865,0.0,0.02
-0.863,0.0,0.02
-0.863,0.0,0.02
-0.863,0.0,0.02
-0.860,0.0,0.02
-0.860,0.0,0.02
-0.860,0.0,0.02
-0.860,0.0,0.02
-0.860,0.0,0.02
-0.860,0.0,0.02
-0.859,0.0,0.02
-0.859,0.0,0.02
-0.857,0.0,0.02
-0.855,0.0,0.02
-0.855,0.0,0.02
-0.855,0.0,0.02
-0.855,0.0,0.02
-0.855,0.0,0.02
-0.855,0.0,0.02
-0.853,0.0,0.02
-0.851,0.0,0.02
-0.851,0.0,0.02
-0.850,0.0,0.02
-0.849,0.0,0.02
-0.850,0.0,0.02
-0.849,0.0,0.02
-0.849,0.0,0.02
-0.850,0.0,0.02
-0.847,0.0,0.02
-0.847,0.0,0.02
-0.847,0.0,0.02
-0.847,0.0,0.02
-0.848,0.0,0.02
-0.848,0.0,0.02
-0.847,0.0,0.02
-0.848,0.0,0.02
-0.844,0.0,0.02
-0.843,0.0,0.02
-0.844,0.0,0.02
-0.843,0.0,0.02
-0.843,0.0,0.02
-0.844,0.0,0.02
-0.844,0.0,0.02
-0.842,0.0,0.02
-0.840,0.0,0.02
-0.840,0.0,0.02
-0.840,0.0,0.02
-0.840,0.0,0.02
-0.840,0.0,0.02
-0.840,0.0,0.02
-0.841,0.0,0.02
-0.840,0.0,0.02
-0.841,0.0,0.02
-0.840,0.0,0.02
-0.840,0.0,0.02
-0.840,0.0,0.02
-0.840,0.0,0.02
-0.837,0.0,0.02
-0.834,0.0,0.02
-0.833,0.0,0.02
-0.832,0.0,0.02
-0.833,0.0,0.02
-0.833,0.0,0.02
-0.833,0.0,0.02
-0.830,0.0,0.02
-0.827,0.0,0.02
-0.825,0.0,0.02
-0.824,0.0,0.02
-0.824,0.0,0.02
-0.825,0.0,0.02
-0.823,0.0,0.02
-0.820,0.0,0.02
-0.817,0.0,0.02
-0.816,0.0,0.02
-0.816,0.0,0.02
-0.816,0.0,0.02
-0.816,0.0,0.02
-0.816,0.0,0.02
-0.814,0.0,0.02
-0.809,0.0,0.02
-0.806,0.0,0.02
-0.805,0.0,0.02
-0.806,0.0,0.02
-0.806,0.0,0.02
-0.807,0.0,0.02
-0.800,0.0,0.02
-0.795,0.0,0.02
-0.792,0.0,0.02
-0.792,0.0,0.02
-0.792,0.0,0.02
-0.792,0.0,0.02
-0.792,0.0,0.02
-0.789,0.0,0.02
-0.785,0.0,0.02
-0.785,0.0,0.02
-0.784,0.0,0.02
-0.785,0.0,0.02
-0.785,0.0,0.02
-0.785,0.0,0.02
-0.779,0.0,0.02
-0.775,0.0,0.02
-0.775,0.0,0.02
-0.775,0.0,0.02
-0.774,0.0,0.02
-0.775,0.0,0.02
-0.775,0.0,0.02
-0.770,0.0,0.02
