"Light Intensity (% of scale max) Run #1","Relative Intensity Run #1","Voltage (V) Run #1"
0.02432,0.02432,-1.627
0.02438,0.02438,-1.626
0.02431,0.02431,-1.627
0.02443,0.02443,-1.627
0.02452,0.02452,-1.627
0.02426,0.02426,-1.627
0.02444,0.02444,-1.626
0.02425,0.02425,-1.626
0.02452,0.02452,-1.626
0.02417,0.02417,-1.626
0.02425,0.02425,-1.626
0.02429,0.02429,-1.625
0.02417,0.02417,-1.626
0.02412,0.02412,-1.625
0.02438,0.02438,-1.626
0.02434,0.02434,-1.626
0.02434,0.02434,-1.626
0.02429,0.02429,-1.626
0.02437,0.02437,-1.626
0.02432,0.02432,-1.626
0.02409,0.02409,-1.626
0.02426,0.02426,-1.626
0.02435,0.02435,-1.626
0.02435,0.02435,-1.626
0.02425,0.02425,-1.627
0.02437,0.02437,-1.627
0.02441,0.02441,-1.626
0.02440,0.02440,-1.626
0.02438,0.02438,-1.625
0.02412,0.02412,-1.626
0.02423,0.02423,-1.626
0.02417,0.02417,-1.625
0.02452,0.02452,-1.625
0.02428,0.02428,-1.625
0.02434,0.02434,-1.626
0.02415,0.02415,-1.626
0.02431,0.02431,-1.626
0.02425,0.02425,-1.626
0.02428,0.02428,-1.626
0.02426,0.02426,-1.627
0.02426,0.02426,-1.626
0.02415,0.02415,-1.627
0.02412,0.02412,-1.626
0.02438,0.02438,-1.626
0.02432,0.02432,-1.625
0.02429,0.02429,-1.625
0.02443,0.02443,-1.625
0.02432,0.02432,-1.626
0.02455,0.02455,-1.626
0.02419,0.02419,-1.626
0.02458,0.02458,-1.625
0.02406,0.02406,-1.624
0.02449,0.02449,-1.624
0.02412,0.02412,-1.625
0.02423,0.02423,-1.625
0.02443,0.02443,-1.625
0.02422,0.02422,-1.625
0.02441,0.02441,-1.625
0.02425,0.02425,-1.625
0.02452,0.02452,-1.626
0.02443,0.02443,-1.625
0.02467,0.02467,-1.625
0.02434,0.02434,-1.625
0.02388,0.02388,-1.625
0.02429,0.02429,-1.625
0.02419,0.02419,-1.625
0.02419,0.02419,-1.625
0.02432,0.02432,-1.625
0.02399,0.02399,-1.625
0.02417,0.02417,-1.625
0.02412,0.02412,-1.626
0.02425,0.02425,-1.625
0.02428,0.02428,-1.626
0.02405,0.02405,-1.625
0.02408,0.02408,-1.625
0.02437,0.02437,-1.625
0.02438,0.02438,-1.625
0.02428,0.02428,-1.625
0.02448,0.02448,-1.626
0.02435,0.02435,-1.626
0.02461,0.02461,-1.625
0.02432,0.02432,-1.625
0.02444,0.02444,-1.626
0.02438,0.02438,-1.626
0.02438,0.02438,-1.625
0.02440,0.02440,-1.624
0.02504,0.02504,-1.621
0.02483,0.02483,-1.621
0.02498,0.02498,-1.621
0.02507,0.02507,-1.620
0.02539,0.02539,-1.616
0.02533,0.02533,-1.615
0.02550,0.02550,-1.615
0.02611,0.02611,-1.614
0.02678,0.02678,-1.613
0.02733,0.02733,-1.612
0.02742,0.02742,-1.611
0.02792,0.02792,-1.611
0.02792,0.02792,-1.608
0.02832,0.02832,-1.607
0.02853,0.02853,-1.607
0.02837,0.02837,-1.603
0.02841,0.02841,-1.604
0.02863,0.02863,-1.604
0.02869,0.02869,-1.604
0.02882,0.02882,-1.602
0.02890,0.02890,-1.600
0.02908,0.02908,-1.599
0.02901,0.02901,-1.600
0.02890,0.02890,-1.600
0.02905,0.02905,-1.600
0.02892,0.02892,-1.599
0.02934,0.02934,-1.599
0.02896,0.02896,-1.600
0.02907,0.02907,-1.599
0.02907,0.02907,-1.597
0.02921,0.02921,-1.597
0.02919,0.02919,-1.596
0.02904,0.02904,-1.595
0.02908,0.02908,-1.595
0.02911,0.02911,-1.595
0.02904,0.02904,-1.595
0.02928,0.02928,-1.595
0.02888,0.02888,-1.596
0.02907,0.02907,-1.595
0.02917,0.02917,-1.595
0.02890,0.02890,-1.594
0.02888,0.02888,-1.590
0.02885,0.02885,-1.590
0.02866,0.02866,-1.590
0.02890,0.02890,-1.590
0.02896,0.02896,-1.589
0.02896,0.02896,-1.590
0.02878,0.02878,-1.590
0.02878,0.02878,-1.587
0.02872,0.02872,-1.585
0.02870,0.02870,-1.585
0.02887,0.02887,-1.585
0.02861,0.02861,-1.585
0.02881,0.02881,-1.585
0.02861,0.02861,-1.585
0.02887,0.02887,-1.583
0.02879,0.02879,-1.580
0.02861,0.02861,-1.581
0.02881,0.02881,-1.581
0.02849,0.02849,-1.581
0.02856,0.02856,-1.581
0.02878,0.02878,-1.580
0.02852,0.02852,-1.580
0.02872,0.02872,-1.578
0.02879,0.02879,-1.577
0.02884,0.02884,-1.576
0.02879,0.02879,-1.575
0.02879,0.02879,-1.575
0.02890,0.02890,-1.576
0.02856,0.02856,-1.575
0.02849,0.02849,-1.574
0.02850,0.02850,-1.572
0.02849,0.02849,-1.572
0.02791,0.02791,-1.571
0.02750,0.02750,-1.572
0.02724,0.02724,-1.572
0.02736,0.02736,-1.570
0.02681,0.02681,-1.568
0.02675,0.02675,-1.568
0.02626,0.02626,-1.566
0.02606,0.02606,-1.564
0.02565,0.02565,-1.564
0.02528,0.02528,-1.564
0.02534,0.02534,-1.563
0.02501,0.02501,-1.560
0.02515,0.02515,-1.559
0.02486,0.02486,-1.560
0.02464,0.02464,-1.559
0.02448,0.02448,-1.556
0.02429,0.02429,-1.555
0.02452,0.02452,-1.555
0.02419,0.02419,-1.555
0.02454,0.02454,-1.553
