"Time (s) Run #1","Voltage (V) Run #1","Light Intensity (% of scale max) Run #1","Relative Intensity Run #1"
0.000,1.374,2.6,2.61
0.050,1.374,2.6,2.56
0.100,1.374,2.6,2.61
0.150,1.374,2.6,2.57
0.200,1.373,2.6,2.60
0.250,1.374,2.6,2.57
0.300,1.374,2.6,2.61
0.350,1.373,2.6,2.57
0.400,1.373,2.6,2.62
0.450,1.373,2.6,2.60
0.500,1.373,2.6,2.62
0.550,1.373,2.6,2.59
0.600,1.372,2.6,2.57
0.650,1.372,2.6,2.58
0.700,1.373,2.6,2.57
0.750,1.373,2.6,2.62
0.800,1.373,2.6,2.58
0.850,1.374,2.6,2.62
0.900,1.374,2.6,2.59
0.950,1.374,2.6,2.62
1.000,1.374,2.6,2.57
1.050,1.374,2.6,2.61
1.100,1.373,2.6,2.57
1.150,1.372,2.6,2.59
1.200,1.373,2.6,2.56
1.250,1.373,2.6,2.60
1.300,1.373,2.6,2.57
1.350,1.373,2.6,2.60
1.400,1.373,2.6,2.61
1.450,1.373,2.6,2.61
1.500,1.373,2.6,2.60
1.550,1.373,2.6,2.56
1.600,1.373,2.6,2.60
1.650,1.374,2.6,2.57
1.700,1.373,2.6,2.61
1.750,1.373,2.6,2.57
1.800,1.373,2.6,2.61
1.850,1.373,2.6,2.57
1.900,1.373,2.6,2.62
1.950,1.374,2.6,2.59
2.000,1.373,2.6,2.62
2.050,1.374,2.6,2.58
2.100,1.373,2.6,2.57
2.150,1.373,2.6,2.58
2.200,1.373,2.6,2.58
2.250,1.373,2.6,2.62
2.300,1.374,2.6,2.59
2.350,1.372,2.6,2.62
2.400,1.373,2.6,2.59
2.450,1.373,2.6,2.62
2.500,1.373,2.6,2.57
2.550,1.374,2.6,2.61
2.600,1.373,2.6,2.56
2.650,1.373,2.6,2.59
2.700,1.374,2.6,2.56
2.750,1.374,2.6,2.60
2.800,1.374,2.6,2.56
2.850,1.373,2.6,2.61
2.900,1.374,2.6,2.61
2.950,1.373,2.6,2.62
3.000,1.373,2.6,2.61
3.050,1.373,2.6,2.58
3.100,1.374,2.6,2.60
3.150,1.374,2.6,2.58
3.200,1.375,2.6,2.63
3.250,1.374,2.6,2.58
3.300,1.374,2.6,2.63
3.350,1.373,2.6,2.59
3.400,1.373,2.6,2.63
3.450,1.373,2.6,2.59
3.500,1.373,2.6,2.63
3.550,1.373,2.6,2.59
3.600,1.373,2.6,2.59
3.650,1.373,2.6,2.58
3.700,1.374,2.6,2.60
3.750,1.373,2.6,2.63
3.800,1.373,2.6,2.60
3.850,1.373,2.6,2.63
3.900,1.374,2.6,2.61
3.950,1.373,2.6,2.62
4.000,1.373,2.6,2.57
4.050,1.373,2.6,2.61
4.100,1.374,2.6,2.57
4.150,1.374,2.6,2.60
4.200,1.373,2.6,2.57
4.250,1.374,2.6,2.61
4.300,1.372,2.6,2.61
4.350,1.371,2.6,2.62
4.400,1.372,2.6,2.61
4.450,1.372,2.6,2.62
4.500,1.372,2.6,2.60
4.550,1.372,2.6,2.57
4.600,1.373,2.6,2.59
4.650,1.373,2.6,2.58
4.700,1.373,2.6,2.62
4.750,1.373,2.6,2.58
4.800,1.373,2.6,2.62
4.850,1.373,2.6,2.58
4.900,1.374,2.6,2.62
4.950,1.374,2.6,2.58
5.000,1.374,2.6,2.62
5.050,1.373,2.6,2.58
5.100,1.372,2.6,2.59
5.150,1.372,2.6,2.57
5.200,1.373,2.6,2.59
5.250,1.373,2.6,2.62
5.300,1.373,2.6,2.59
5.350,1.374,2.6,2.62
5.400,1.374,2.6,2.60
5.450,1.374,2.6,2.62
5.500,1.374,2.6,2.57
5.550,1.374,2.6,2.61
5.600,1.374,2.6,2.57
5.650,1.374,2.6,2.60
5.700,1.374,2.6,2.57
5.750,1.373,2.6,2.61
5.800,1.373,2.6,2.61
5.850,1.373,2.6,2.61
5.900,1.374,2.6,2.61
5.950,1.373,2.6,2.62
6.000,1.373,2.6,2.60
6.050,1.372,2.6,2.57
6.100,1.373,2.6,2.60
6.150,1.373,2.6,2.57
6.200,1.373,2.6,2.62
6.250,1.373,2.6,2.58
6.300,1.373,,
6.350,1.373,,
6.400,1.372,,
6.450,1.372,,
6.500,1.372,,
6.550,1.373,,
